"תחנה","תאריך ושעה (שעון קיץ)","כמות גשם (מ""מ)"
"תל-אביב, חוף","01/01/2024 00:00","0"
"תל-אביב, חוף","01/01/2024 00:10","0"
"תל-אביב, חוף","01/01/2024 00:20","0"
"תל-אביב, חוף","01/01/2024 00:30","0"
"תל-אביב, חוף","01/01/2024 00:40","0"
"תל-אביב, חוף","01/01/2024 00:50","0"
"תל-אביב, חוף","01/01/2024 01:00","0"
"תל-אביב, חוף","01/01/2024 01:10","0"
"תל-אביב, חוף","01/01/2024 01:20","0"
"תל-אביב, חוף","01/01/2024 01:30","0"
"תל-אביב, חוף","01/01/2024 01:40","0"
"תל-אביב, חוף","01/01/2024 01:50","0"
"תל-אביב, חוף","01/01/2024 02:00","0"
"תל-אביב, חוף","01/01/2024 02:10","0"
"תל-אביב, חוף","01/01/2024 02:20","0"
"תל-אביב, חוף","01/01/2024 02:30","0"
"תל-אביב, חוף","01/01/2024 02:40","0"
"תל-אביב, חוף","01/01/2024 02:50","0"
"תל-אביב, חוף","01/01/2024 03:00","0"
"תל-אביב, חוף","01/01/2024 03:10","0"
"תל-אביב, חוף","01/01/2024 03:20","0"
"תל-אביב, חוף","01/01/2024 03:30","0"
"תל-אביב, חוף","01/01/2024 03:40","0"
"תל-אביב, חוף","01/01/2024 03:50","0"
"תל-אביב, חוף","01/01/2024 04:00","0"
"תל-אביב, חוף","01/01/2024 04:10","0"
"תל-אביב, חוף","01/01/2024 04:20","0"
"תל-אביב, חוף","01/01/2024 04:30","0"
"תל-אביב, חוף","01/01/2024 04:40","0"
"תל-אביב, חוף","01/01/2024 04:50","0"
"תל-אביב, חוף","01/01/2024 05:00","0"
"תל-אביב, חוף","01/01/2024 05:10","0"
"תל-אביב, חוף","01/01/2024 05:20","0"
"תל-אביב, חוף","01/01/2024 05:30","0"
"תל-אביב, חוף","01/01/2024 05:40","0"
"תל-אביב, חוף","01/01/2024 05:50","0"
"תל-אביב, חוף","01/01/2024 06:00","0"
"תל-אביב, חוף","01/01/2024 06:10","0"
"תל-אביב, חוף","01/01/2024 06:20","0"
"תל-אביב, חוף","01/01/2024 06:30","0"
"תל-אביב, חוף","01/01/2024 06:40","0"
"תל-אביב, חוף","01/01/2024 06:50","0"
"תל-אביב, חוף","01/01/2024 07:00","0"
"תל-אביב, חוף","01/01/2024 07:10","0"
"תל-אביב, חוף","01/01/2024 07:20","0"
"תל-אביב, חוף","01/01/2024 07:30","0"
"תל-אביב, חוף","01/01/2024 07:40","0"
"תל-אביב, חוף","01/01/2024 07:50","0"
"תל-אביב, חוף","01/01/2024 08:00","0"
"תל-אביב, חוף","01/01/2024 08:10","0"
"תל-אביב, חוף","01/01/2024 08:20","0"
"תל-אביב, חוף","01/01/2024 08:30","0"
"תל-אביב, חוף","01/01/2024 08:40","0"
"תל-אביב, חוף","01/01/2024 08:50","0"
"תל-אביב, חוף","01/01/2024 09:00","0"
"תל-אביב, חוף","01/01/2024 09:10","0"
"תל-אביב, חוף","01/01/2024 09:20","0"
"תל-אביב, חוף","01/01/2024 09:30","0"
"תל-אביב, חוף","01/01/2024 09:40","0"
"תל-אביב, חוף","01/01/2024 09:50","0"
"תל-אביב, חוף","01/01/2024 10:00","0"
"תל-אביב, חוף","01/01/2024 10:10","0"
"תל-אביב, חוף","01/01/2024 10:20","0"
"תל-אביב, חוף","01/01/2024 10:30","0"
"תל-אביב, חוף","01/01/2024 10:40","0"
"תל-אביב, חוף","01/01/2024 10:50","0"
"תל-אביב, חוף","01/01/2024 11:00","0"
"תל-אביב, חוף","01/01/2024 11:10","0"
"תל-אביב, חוף","01/01/2024 11:20","0"
"תל-אביב, חוף","01/01/2024 11:30","0"
"תל-אביב, חוף","01/01/2024 11:40","0"
"תל-אביב, חוף","01/01/2024 11:50","0"
"תל-אביב, חוף","01/01/2024 12:00","0"
"תל-אביב, חוף","01/01/2024 12:10","0"
"תל-אביב, חוף","01/01/2024 12:20","0"
"תל-אביב, חוף","01/01/2024 12:30","0"
"תל-אביב, חוף","01/01/2024 12:40","0"
"תל-אביב, חוף","01/01/2024 12:50","0"
"תל-אביב, חוף","01/01/2024 13:00","0"
"תל-אביב, חוף","01/01/2024 13:10","0"
"תל-אביב, חוף","01/01/2024 13:20","0"
