date,day,hour_rounded,line_num,line_name,route_id,direction,alternative,agency_name,route_type,origin_city,origin_station,destination_city,destination_station,number_of_stops,route_length_km,departure_time_planned,arrival_time_planned,duration_min_planned,duration_min_actual,duration_difference_min,speed_kmh_planned,speed_kmh_actual,SIRI_id
2024-01-05,Friday,0,61,הכובשים/דניאל-תל אביב יפו<->מסוף עמידר-רמת גן-10,2510,1,0,Dan,bus,תל אביב יפו,הכובשים/דניאל,רמת גן,מסוף עמידר,38,11.718,00:00:00,00:39:26,39,46.0,7.0,18.0,15.3,58601679
2024-01-05,Friday,0,2,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב-תל אביב יפו<->משמר הירדן/טורקוב-תל אביב יפו-20,27082,2,0,Dan,bus,תל אביב יפו,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,תל אביב יפו,משמר הירדן/טורקוב,51,17.727,00:00:00,00:58:59,59,54.0,-5.0,18.0,19.7,58601680
2024-01-05,Friday,0,699,הרכבת/ראש פינה-תל אביב יפו<->ת. מרכזית נתניה-נתניה-2#,22058,2,#,Metropolin,bus,תל אביב יפו,הרכבת/ראש פינה,נתניה,ת. מרכזית נתניה,42,31.934,00:00:00,01:03:59,64,64.0,0.0,29.9,29.9,58601681
2024-01-05,Friday,0,555,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,1048,1,0,Kavim,bus,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,46,18.846,00:00:00,00:56:34,57,51.0,-6.0,19.8,22.2,58601684
2024-01-05,Friday,0,8,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,16076,1,0,Dan,bus,תל אביב יפו,מסוף אונברסיטת ת''א,תל אביב יפו,מסוף הטייסים,42,13.57,00:00:00,00:49:59,50,46.0,-4.0,16.3,17.7,58601687
2024-01-05,Friday,0,418,מסוף בית העלמין/איסוף-בת ים<->מסוף אזורי חן-תל אביב יפו-20,2949,2,0,Dan,bus,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף אזורי חן,56,20.168,00:00:00,01:10:44,71,63.0,-8.0,17.0,19.2,58601689
2024-01-05,Friday,0,418,מסוף אזורי חן-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,2948,1,0,Dan,bus,תל אביב יפו,מסוף אזורי חן,בת ים,מסוף בית העלמין/הורדה,57,19.9,00:00:00,01:09:19,69,62.0,-7.0,17.3,19.3,58601690
2024-01-05,Friday,0,463,מסוף רדינג/רציפים-תל אביב יפו<->הרב שלמה גורן/מבטחים-גבעת שמואל-10,2950,1,0,Dan,bus,תל אביב יפו,מסוף רדינג/רציפים,גבעת שמואל,הרב שלמה גורן/מבטחים,60,20.743,00:00:00,01:13:59,74,81.0,7.0,16.8,15.4,58601691
2024-01-05,Friday,0,466,מסוף רדינג/רציפים-תל אביב יפו<->משה סנה/אבשלום גיסין-פתח תקווה-20,2953,2,0,Dan,bus,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,משה סנה/אבשלום גיסין,58,22.981,00:00:00,01:18:15,78,71.0,-7.0,17.7,19.4,58601692
2024-01-05,Friday,0,174,מסוף רדינג/רציפים-תל אביב יפו<->ת. מרכזית רחובות/רציפים-רחובות-18,17214,1,8,Egged,bus,תל אביב יפו,מסוף רדינג/רציפים,רחובות,ת. מרכזית רחובות/רציפים,58,29.822,00:00:00,01:17:59,78,66.0,-12.0,22.9,27.1,58601694
