תאריך,יום,שעה (עגולה),מספר קו,שם הקו,route_id,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
05/01/2024,שישי,00:00,61,הכובשים/דניאל-תל אביב יפו<->מסוף עמידר-רמת גן-10,2510,1,0,דן,אוטובוס,תל אביב יפו,הכובשים/דניאל,רמת גן,מסוף עמידר,38,11.718,00:00:00,00:39:26,39,46,7,18.0,15.3,58601679
05/01/2024,שישי,00:00,2,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב-תל אביב יפו<->משמר הירדן/טורקוב-תל אביב יפו-20,27082,2,0,דן,אוטובוס,תל אביב יפו,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,תל אביב יפו,משמר הירדן/טורקוב,51,17.727,00:00:00,00:58:59,59,54,-5,18.0,19.7,58601680
05/01/2024,שישי,00:00,699,הרכבת/ראש פינה-תל אביב יפו<->ת. מרכזית נתניה-נתניה-2#,22058,2,#,מטרופולין,אוטובוס,תל אביב יפו,הרכבת/ראש פינה,נתניה,ת. מרכזית נתניה,42,31.934,00:00:00,01:03:59,64,64,0,29.9,29.9,58601681
05/01/2024,שישי,00:00,555,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,1048,1,0,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,46,18.846,00:00:00,00:56:34,57,51,-6,19.8,22.2,58601684
05/01/2024,שישי,00:00,8,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,16076,1,0,דן,אוטובוס,תל אביב יפו,מסוף אונברסיטת ת''א,תל אביב יפו,מסוף הטייסים,42,13.57,00:00:00,00:49:59,50,46,-4,16.3,17.7,58601687
05/01/2024,שישי,00:00,418,מסוף בית העלמין/איסוף-בת ים<->מסוף אזורי חן-תל אביב יפו-20,2949,2,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף אזורי חן,56,20.168,00:00:00,01:10:44,71,63,-8,17.0,19.2,58601689
05/01/2024,שישי,00:00,418,מסוף אזורי חן-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,2948,1,0,דן,אוטובוס,תל אביב יפו,מסוף אזורי חן,בת ים,מסוף בית העלמין/הורדה,57,19.9,00:00:00,01:09:19,69,62,-7,17.3,19.3,58601690
05/01/2024,שישי,00:00,463,מסוף רדינג/רציפים-תל אביב יפו<->הרב שלמה גורן/מבטחים-גבעת שמואל-10,2950,1,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,גבעת שמואל,הרב שלמה גורן/מבטחים,60,20.743,00:00:00,01:13:59,74,81,7,16.8,15.4,58601691
05/01/2024,שישי,00:00,466,מסוף רדינג/רציפים-תל אביב יפו<->משה סנה/אבשלום גיסין-פתח תקווה-20,2953,2,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,משה סנה/אבשלום גיסין,58,22.981,00:00:00,01:18:15,78,71,-7,17.7,19.4,58601692
05/01/2024,שישי,00:00,174,מסוף רדינג/רציפים-תל אביב יפו<->ת. מרכזית רחובות/רציפים-רחובות-18,17214,1,8,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,רחובות,ת. מרכזית רחובות/רציפים,58,29.822,00:00:00,01:17:59,78,66,-12,22.9,27.1,58601694
05/01/2024,שישי,00:00,807,מסוף רדינג/רציפים-תל אביב יפו<->קידמה/התמדה-חריש-2#,17210,2,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,חריש,קידמה/התמדה,86,67.541,00:00:00,01:55:19,115,93,-22,35.2,43.6,58601695
05/01/2024,שישי,00:00,296,מסוף רדינג/רציפים-תל אביב יפו<->שדרות מנחם בגין/כצנלסון-בית דגן-2#,13761,2,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,בית דגן,שדרות מנחם בגין/כצנלסון,56,21.631,00:00:00,01:03:33,64,67,3,20.3,19.4,58601696
05/01/2024,שישי,00:00,489,מסוף רדינג/רציפים-תל אביב יפו<->המנור/הרוקמים-חולון-2#,13763,2,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,חולון,המנור/הרוקמים,39,13.907,00:00:00,00:55:59,56,50,-6,14.9,16.7,58601697
05/01/2024,שישי,00:00,170,מסוף כרמלית-תל אביב יפו<->ת. מרכזית לוד/הורדה-לוד-20,22988,2,0,קווים,אוטובוס,תל אביב יפו,מסוף כרמלית,לוד,ת. מרכזית לוד/הורדה,57,32.488,00:00:00,01:18:40,79,79,0,24.7,24.7,58601709
05/01/2024,שישי,00:00,480,ממילא/קריב-ירושלים<->מסוף רדינג/הורדה-תל אביב יפו-3ק,7034,3,ק,אגד,אוטובוס,ירושלים,ממילא/קריב,תל אביב יפו,מסוף רדינג/הורדה,18,60.046,00:00:00,01:16:59,77,71,-6,46.8,50.7,58601714
05/01/2024,שישי,00:00,480,מסוף רדינג/רציפים-תל אביב יפו<->ממילא/קריב-ירושלים-1ק,7022,1,ק,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,ירושלים,ממילא/קריב,19,60.628,00:00:00,01:19:59,80,82,2,45.5,44.4,58601715
